model,horizon,regime,rmse_mean,rmse_std,mae_mean,mae_std,da_mean,da_std
transformer,5,crisis_onset,0.01812193004216426,0.008658952558801662,0.01812193004216426,0.008658952558801662,33.333333333333336,51.63977794943223
transformer,5,peak_crisis,0.021564537297200825,0.012054204018484947,0.021564537297200825,0.012054204018484947,33.333333333333336,49.236596391733094
transformer,5,post_crisis,0.014713342063185114,0.00817023680646988,0.014713342063185114,0.00817023680646988,16.666666666666668,40.824829046386306
transformer,5,pre_crisis,0.02103673552367398,0.021043974610536646,0.02103673552367398,0.021043974610536646,69.23076923076923,48.03844614152614
transformer,22,crisis_onset,0.031016643580235915,0.027401286525849264,0.031016643580235915,0.027401286525849264,66.66666666666667,51.63977794943222
transformer,22,peak_crisis,0.01876054436717037,0.017335675759493966,0.01876054436717037,0.017335675759493966,53.84615384615385,51.887452166277086
transformer,22,post_crisis,0.01750083915144836,0.01004377841310547,0.01750083915144836,0.01004377841310547,33.333333333333336,51.63977794943222
transformer,22,pre_crisis,0.01952190773371312,0.021257430304742277,0.01952190773371312,0.021257430304742277,50.0,52.223296786709355
xgboost,1,crisis_onset,0.0310508471527423,0.02851361221897439,0.0310508471527423,0.02851361221897439,66.66666666666667,51.63977794943222
xgboost,1,peak_crisis,0.018468968680526686,0.01757836540043452,0.018468968680526686,0.01757836540043452,53.84615384615385,51.887452166277086
xgboost,1,post_crisis,0.01755206248652637,0.011383853848330776,0.01755206248652637,0.011383853848330776,40.0,54.772255750516614
xgboost,1,pre_crisis,0.019515736034754497,0.01945674378603241,0.019515736034754497,0.01945674378603241,61.53846153846154,50.63696835418333
xgboost,5,crisis_onset,0.016876497271159214,0.007838510914437635,0.016876497271159214,0.007838510914437635,66.66666666666667,51.63977794943222
xgboost,5,peak_crisis,0.019524868057986356,0.012605128240983181,0.019524868057986356,0.012605128240983181,58.333333333333336,51.49286505444372
xgboost,5,post_crisis,0.014064606212970001,0.008979886158995313,0.014064606212970001,0.008979886158995313,33.333333333333336,51.63977794943223
xgboost,5,pre_crisis,0.02084286320883782,0.020299361919213506,0.02084286320883782,0.020299361919213506,69.23076923076923,48.03844614152614
xgboost,22,crisis_onset,0.0315596153093206,0.02848015588343791,0.0315596153093206,0.02848015588343791,66.66666666666667,51.63977794943222
xgboost,22,peak_crisis,0.01833026894414323,0.017591297225773565,0.01833026894414323,0.017591297225773565,61.53846153846154,50.63696835418333
xgboost,22,post_crisis,0.016472361372072194,0.010696517283808198,0.016472361372072194,0.010696517283808198,50.0,54.772255750516614
xgboost,22,pre_crisis,0.018962091688919033,0.020248539169606526,0.018962091688919033,0.020248539169606526,50.0,52.223296786709355
