total_return_pct,ann_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,hit_rate_pct,win_loss_ratio,n_trades,n_obs,model,horizon,regime
-21.4277,-415.3676,-13.7748,-979.0749,-0.4242,30.77,0.1377,13,13,gru,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,gru,22,post_crisis
5.4602,37.1882,0.8284,-29931.3011,0.0012,51.35,1.0937,37,37,transformer,22,overall
0.8075,16.9573,0.3847,-29931.3011,0.0006,50.0,1.0729,12,12,transformer,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,transformer,22,crisis_onset
5.554,107.6615,2.7364,-335.2282,0.3212,53.85,1.3672,13,13,transformer,22,peak_crisis
-3.3088,-138.9699,-4.9131,-168.3872,-0.8253,33.33,1.0026,6,6,transformer,22,post_crisis
-18.0322,-122.8138,-2.7736,-4040.5301,-0.0304,48.65,0.6515,37,37,emd_lstm,22,overall
-6.6448,-139.5412,-3.2296,-2350.6788,-0.0594,41.67,0.7718,12,12,emd_lstm,22,pre_crisis
-1.6298,-68.4496,-1.0533,-997.895,-0.0686,50.0,0.8421,6,6,emd_lstm,22,crisis_onset
-12.2123,-236.73,-6.3922,-802.5718,-0.295,46.15,0.3845,13,13,emd_lstm,22,peak_crisis
2.4546,103.0952,3.5688,-130.2286,0.7916,66.67,0.827,6,6,emd_lstm,22,post_crisis
21.8501,148.8166,3.3851,-120.4299,1.2357,59.46,1.2303,37,37,rw,22,overall
8.0187,168.3934,3.9348,-120.4299,1.3983,66.67,1.0362,12,12,rw,22,pre_crisis
17.8082,747.943,16.6331,-3.6872,202.8459,66.67,15.2267,6,6,rw,22,crisis_onset
-5.4752,-106.1355,-2.6965,-523.4988,-0.2027,46.15,0.7365,13,13,rw,22,peak_crisis
1.4984,62.933,2.1448,-98.6797,0.6378,66.67,0.6771,6,6,rw,22,post_crisis
11.2449,76.587,1.7137,-29931.3011,0.0026,56.76,1.0258,37,37,hm,22,overall
0.8075,16.9573,0.3847,-29931.3011,0.0006,50.0,1.0729,12,12,hm,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,hm,22,crisis_onset
10.5193,203.9122,5.3944,-167.4847,1.2175,61.54,1.5847,13,13,hm,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,hm,22,post_crisis
11.2449,76.587,1.7137,-29931.3011,0.0026,56.76,1.0258,37,37,buy_hold,22,overall
0.8075,16.9573,0.3847,-29931.3011,0.0006,50.0,1.0729,12,12,buy_hold,22,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,buy_hold,22,crisis_onset
10.5193,203.9122,5.3944,-167.4847,1.2175,61.54,1.5847,13,13,buy_hold,22,peak_crisis
-2.4894,-104.5537,-3.6219,-181.9737,-0.5746,50.0,0.6001,6,6,buy_hold,22,post_crisis
30.1906,205.6225,4.777,-205.3546,1.0013,62.16,1.408,37,37,random,22,overall
16.4295,345.019,8.9936,-205.3546,1.6801,66.67,3.0102,12,12,random,22,pre_crisis
7.5321,316.3465,5.1018,-43.2602,7.3126,50.0,2.3116,6,6,random,22,crisis_onset
-4.2389,-82.1692,-2.0757,-833.2829,-0.0986,46.15,0.8191,13,13,random,22,peak_crisis
0.396,16.6319,0.5621,-134.3988,0.1238,66.67,0.5414,6,6,random,22,post_crisis
